name;rect
Cancha Futbol Lampa;POLYGON((-7889311.99 -3933276.22,-7889311.99 -3933140.88,-7889190.64 -3933140.88,-7889190.64 -3933276.22,-7889311.99 -3933276.22))
Escuela Basica Mandatario Eduardo Frei M;POLYGON((-7889180.32 -3976030.82,-7889180.32 -3975890.47,-7889014.91 -3975890.47,-7889014.91 -3976030.82,-7889180.32 -3976030.82))
Club de Campo Lampa;POLYGON((-7889052.55 -3934985.95,-7889052.55 -3934452.67,-7888697.23 -3934452.67,-7888697.23 -3934985.95,-7889052.55 -3934985.95))
Escuela Basica Y Esp. Nueva Integral Alt;POLYGON((-7888929.52 -3975922.12,-7888929.52 -3975854.64,-7888859.65 -3975854.64,-7888859.65 -3975922.12,-7888929.52 -3975922.12))
Calera de Tango;POLYGON((-7888929.3 -3984435.13,-7888929.3 -3971081.34,-7874241.87 -3971081.34,-7874241.87 -3984435.13,-7888929.3 -3984435.13))
Laguna Carén;POLYGON((-7888887.62 -3953926.04,-7888887.62 -3951435.81,-7885768.37 -3951435.81,-7885768.37 -3953926.04,-7888887.62 -3953926.04))
Escuela Basica Parthenon College;POLYGON((-7888815.46 -3976581.4,-7888815.46 -3976441.06,-7888707.97 -3976441.06,-7888707.97 -3976581.4,-7888815.46 -3976581.4))
Canchas Liga San Javier;POLYGON((-7888803.54 -3978168.7,-7888803.54 -3977760.16,-7888196.81 -3977760.16,-7888196.81 -3978168.7,-7888803.54 -3978168.7))
Multicancha;POLYGON((-7888794.32 -3975400.78,-7888794.32 -3975356.33,-7888756.37 -3975356.33,-7888756.37 -3975400.78,-7888794.32 -3975400.78))
Colegio Polivalente Francisco De Villagr;POLYGON((-7888579.57 -3975805.08,-7888579.57 -3975740.59,-7888506.13 -3975740.59,-7888506.13 -3975805.08,-7888579.57 -3975805.08))
Canchas Liga San Javier;POLYGON((-7888568.3 -3978149.26,-7888568.3 -3977952.08,-7888299.22 -3977952.08,-7888299.22 -3978149.26,-7888568.3 -3978149.26))
Multicancha;POLYGON((-7888542.54 -3975507.85,-7888542.54 -3975480.5,-7888508.4 -3975480.5,-7888508.4 -3975507.85,-7888542.54 -3975507.85))
Escuela Especial Antilaf De PeñAflor;POLYGON((-7888511.5 -3976026.35,-7888511.5 -3975917.35,-7888391.77 -3975917.35,-7888391.77 -3976026.35,-7888511.5 -3976026.35))
Escuela Especial Andalue;POLYGON((-7888381.35 -3975544.19,-7888381.35 -3975356.09,-7888183.09 -3975356.09,-7888183.09 -3975544.19,-7888381.35 -3975544.19))
Campo Experimental Santo Tomas;POLYGON((-7888346.68 -3948681.91,-7888346.68 -3948588.16,-7888205.16 -3948588.16,-7888205.16 -3948681.91,-7888346.68 -3948681.91))
Ciudad de los Valles;POLYGON((-7887990.54 -3957237.6,-7887990.54 -3954586.48,-7885126.4 -3954586.48,-7885126.4 -3957237.6,-7887990.54 -3957237.6))
Colegio De Miraflores De Malloco;POLYGON((-7887955.56 -3975441.48,-7887955.56 -3975278.46,-7887788.95 -3975278.46,-7887788.95 -3975441.48,-7887955.56 -3975441.48))
Supermercado Monserrat;POLYGON((-7887754.9 -3976181.89,-7887754.9 -3976064.85,-7887476.02 -3976064.85,-7887476.02 -3976181.89,-7887754.9 -3976181.89))
Monserrat;POLYGON((-7887696.6 -3976167.72,-7887696.6 -3976088.9,-7887547.31 -3976088.9,-7887547.31 -3976167.72,-7887696.6 -3976167.72))
Liceo Cuidad de Brasilia;POLYGON((-7887653.23 -3948924.86,-7887653.23 -3948712.94,-7887426.3 -3948712.94,-7887426.3 -3948924.86,-7887653.23 -3948924.86))
Escuela E664 Malloco;POLYGON((-7887441.39 -3975808.08,-7887441.39 -3975664.74,-7887279.55 -3975664.74,-7887279.55 -3975808.08,-7887441.39 -3975808.08))
Liceo Comercial Republica De Brasil;POLYGON((-7887391.23 -3975569.8,-7887391.23 -3975479.63,-7887241.6 -3975479.63,-7887241.6 -3975569.8,-7887391.23 -3975569.8))
Plaza de Malloco;POLYGON((-7887321.95 -3975845.69,-7887321.95 -3975756.11,-7887231.79 -3975756.11,-7887231.79 -3975845.69,-7887321.95 -3975845.69))
Centro Educacional Niño  Dios De Malloco;POLYGON((-7887212.07 -3975892.27,-7887212.07 -3975569.8,-7886824.51 -3975569.8,-7886824.51 -3975892.27,-7887212.07 -3975892.27))
Strep Center CDLV;POLYGON((-7887066.43 -3955475.05,-7887066.43 -3955350.23,-7887003.13 -3955350.23,-7887003.13 -3955475.05,-7887066.43 -3955475.05))
"Cementerio Parque Tradicional ""Memory Park"" Malloco";POLYGON((-7887062.78 -3976356.01,-7887062.78 -3976029.8,-7886546.66 -3976029.8,-7886546.66 -3976356.01,-7887062.78 -3976356.01))
Centro de Bodegaje Pudahuel;POLYGON((-7887027 -3949920.03,-7887027 -3949440.63,-7886576.74 -3949440.63,-7886576.74 -3949920.03,-7887027 -3949920.03))
Colegio Manquecura Ciudad de los Valles;POLYGON((-7886992.94 -3955389.16,-7886992.94 -3955094.87,-7886656.34 -3955094.87,-7886656.34 -3955389.16,-7886992.94 -3955389.16))
Liceo Tecnico Profesional Malloco;POLYGON((-7886890.2 -3975965.12,-7886890.2 -3975762.08,-7886678.81 -3975762.08,-7886678.81 -3975965.12,-7886890.2 -3975965.12))
