name;rect
Pontificia Universidad Católica de Chile - Campus Lo Contador;POLYGON((-7861274.61 -3951214.49,-7861274.61 -3950979.17,-7861038.71 -3950979.17,-7861038.71 -3951214.49,-7861274.61 -3951214.49))
Magnere 1540;POLYGON((-7861273.13 -3951977.14,-7861273.13 -3951923.46,-7861225.74 -3951923.46,-7861225.74 -3951977.14,-7861273.13 -3951977.14))
Instituto de Estudios Urbanos y Territoriales;POLYGON((-7861268.96 -3951124.82,-7861268.96 -3951049.04,-7861178.74 -3951049.04,-7861178.74 -3951124.82,-7861268.96 -3951124.82))
Salón de Honor;POLYGON((-7861264.29 -3960607.12,-7861264.29 -3960555.35,-7861230.09 -3960555.35,-7861230.09 -3960607.12,-7861264.29 -3960607.12))
Edificio F;POLYGON((-7861264.29 -3960607.12,-7861264.29 -3960547.87,-7861187.6 -3960547.87,-7861187.6 -3960607.12,-7861264.29 -3960607.12))
Parque Metropolitano de Santiago;POLYGON((-7861261.91 -3950716.45,-7861261.91 -3950559.75,-7861107.46 -3950559.75,-7861107.46 -3950716.45,-7861261.91 -3950716.45))
Centro Tiro Golf Ciudad Empresarial;POLYGON((-7861259.63 -3947503.87,-7861259.63 -3947223.9,-7860944.33 -3947223.9,-7860944.33 -3947503.87,-7861259.63 -3947503.87))
Canchas Ciudad Empresarial;POLYGON((-7861252.22 -3947924.59,-7861252.22 -3947797.51,-7861145.9 -3947797.51,-7861145.9 -3947924.59,-7861252.22 -3947924.59))
Edificio A;POLYGON((-7861247.1 -3960729.31,-7861247.1 -3960589.08,-7861156.71 -3960589.08,-7861156.71 -3960729.31,-7861247.1 -3960729.31))
"Centro de Salud ""Sansanito""";POLYGON((-7861246.48 -3960756.58,-7861246.48 -3960741.66,-7861215.8 -3960741.66,-7861215.8 -3960756.58,-7861246.48 -3960756.58))
Centro Medico;POLYGON((-7861246.48 -3960755.63,-7861246.48 -3960741.66,-7861235.39 -3960741.66,-7861235.39 -3960755.63,-7861246.48 -3960755.63))
Estacionamientos Persa Departamental;POLYGON((-7861242.57 -3963285.36,-7861242.57 -3963130.87,-7861083.95 -3963130.87,-7861083.95 -3963285.36,-7861242.57 -3963285.36))
Talleres Arquitectura;POLYGON((-7861240.84 -3951138.31,-7861240.84 -3951092.34,-7861200.23 -3951092.34,-7861200.23 -3951138.31,-7861240.84 -3951138.31))
Psicologo;POLYGON((-7861235.95 -3960755.94,-7861235.95 -3960742.05,-7861229.11 -3960742.05,-7861229.11 -3960755.94,-7861235.95 -3960755.94))
"Cafeteria ""La Sede""";POLYGON((-7861233.17 -3960560.68,-7861233.17 -3960552.58,-7861223.42 -3960552.58,-7861223.42 -3960560.68,-7861233.17 -3960560.68))
Mantención;POLYGON((-7861229.4 -3960756.58,-7861229.4 -3960742.29,-7861215.8 -3960742.29,-7861215.8 -3960756.58,-7861229.4 -3960756.58))
Colegio Nuestra Señora De Guadalupe;POLYGON((-7861223.5 -3969453.04,-7861223.5 -3969263.74,-7861028.58 -3969263.74,-7861028.58 -3969453.04,-7861223.5 -3969453.04))
Casona Lo Contador;POLYGON((-7861219.89 -3951213.3,-7861219.89 -3951086.43,-7861105.49 -3951086.43,-7861105.49 -3951213.3,-7861219.89 -3951213.3))
Patio de Madera;POLYGON((-7861214.31 -3951142.75,-7861214.31 -3951070.84,-7861152.85 -3951070.84,-7861152.85 -3951142.75,-7861214.31 -3951142.75))
Plaza Matte Hurtado;POLYGON((-7861213.92 -3962611.97,-7861213.92 -3962520.6,-7861123.15 -3962520.6,-7861123.15 -3962611.97,-7861213.92 -3962611.97))
Parque Santa María;POLYGON((-7861213.17 -3951492.37,-7861213.17 -3951288.55,-7860787.39 -3951288.55,-7860787.39 -3951492.37,-7861213.17 -3951492.37))
Lo Contador;POLYGON((-7861209.5 -3951132.35,-7861209.5 -3951079.79,-7861160.83 -3951079.79,-7861160.83 -3951132.35,-7861209.5 -3951132.35))
Plaza de la India;POLYGON((-7861208.39 -3951432.02,-7861208.39 -3951307.52,-7861038.8 -3951307.52,-7861038.8 -3951432.02,-7861208.39 -3951432.02))
Edificio de Diseño;POLYGON((-7861199.34 -3951070.84,-7861199.34 -3951013.5,-7861142.92 -3951013.5,-7861142.92 -3951070.84,-7861199.34 -3951070.84))
Bloc 10;POLYGON((-7861196.55 -3956838.54,-7861196.55 -3956819.1,-7861110.29 -3956819.1,-7861110.29 -3956838.54,-7861196.55 -3956838.54))
Patio de los Naranjos;POLYGON((-7861195.65 -3951192.08,-7861195.65 -3951122.6,-7861127.82 -3951122.6,-7861127.82 -3951192.08,-7861195.65 -3951192.08))
Iglesia San Jose;POLYGON((-7861193.79 -3974720.57,-7861193.79 -3974598.16,-7861014.03 -3974598.16,-7861014.03 -3974720.57,-7861193.79 -3974720.57))
Sii;POLYGON((-7861167.68 -3952620.33,-7861167.68 -3952584.96,-7861117.09 -3952584.96,-7861117.09 -3952620.33,-7861167.68 -3952620.33))
Biota Consultores;POLYGON((-7861164.9 -3953913.38,-7861164.9 -3953899.28,-7861151.41 -3953899.28,-7861151.41 -3953913.38,-7861164.9 -3953913.38))
Canchas Ciudad Empresarial;POLYGON((-7861164.27 -3947950.68,-7861164.27 -3947818.08,-7861058.61 -3947818.08,-7861058.61 -3947950.68,-7861164.27 -3947950.68))
Parque Costanera Andrés Bello;POLYGON((-7861162.71 -3951553.7,-7861162.71 -3950530.39,-7859843.38 -3950530.39,-7859843.38 -3951553.7,-7861162.71 -3951553.7))
Parque Municipal de la Granja;POLYGON((-7861161.16 -3964994.87,-7861161.16 -3963859.52,-7860283.79 -3963859.52,-7860283.79 -3964994.87,-7861161.16 -3964994.87))
Salas Arquitectura;POLYGON((-7861159.27 -3951070.84,-7861159.27 -3951042.84,-7861132.16 -3951042.84,-7861132.16 -3951070.84,-7861159.27 -3951070.84))
Multicancha;POLYGON((-7861152.16 -3966420.99,-7861152.16 -3966382.66,-7861126.61 -3966382.66,-7861126.61 -3966420.99,-7861152.16 -3966420.99))
Edificio Jazz;POLYGON((-7861148.73 -3952108.57,-7861148.73 -3952059.93,-7861100.21 -3952059.93,-7861100.21 -3952108.57,-7861148.73 -3952108.57))
Edificio Plaza Miguel Claro 1555;POLYGON((-7861147.66 -3954338.23,-7861147.66 -3954304.57,-7861110.27 -3954304.57,-7861110.27 -3954338.23,-7861147.66 -3954338.23))
Ciudad Empresarial;POLYGON((-7861143.87 -3947311.77,-7861143.87 -3947109.89,-7860939.96 -3947109.89,-7860939.96 -3947311.77,-7861143.87 -3947311.77))
Casino Lo Contador;POLYGON((-7861142.92 -3951140.42,-7861142.92 -3951099.2,-7861105.59 -3951099.2,-7861105.59 -3951140.42,-7861142.92 -3951140.42))
Inacap (Sede Sur);POLYGON((-7861139.95 -3960703.31,-7861139.95 -3960407.14,-7860914 -3960407.14,-7860914 -3960703.31,-7861139.95 -3960703.31))
Campus Lo Contador;POLYGON((-7861139.92 -3951046.56,-7861139.92 -3951006.62,-7861099.12 -3951006.62,-7861099.12 -3951046.56,-7861139.92 -3951046.56))
CPF Santiago;POLYGON((-7861137.73 -3962492.54,-7861137.73 -3962015.99,-7860889.8 -3962015.99,-7860889.8 -3962492.54,-7861137.73 -3962492.54))
Ex Edificio de Diseño;POLYGON((-7861137.54 -3951104.58,-7861137.54 -3951066.65,-7861097.53 -3951066.65,-7861097.53 -3951104.58,-7861137.54 -3951104.58))
Oficinas;POLYGON((-7861128.59 -3952190.99,-7861128.59 -3952155.54,-7861096.7 -3952155.54,-7861096.7 -3952190.99,-7861128.59 -3952190.99))
Parque Juan Pablo II;POLYGON((-7861127.95 -3978677.81,-7861127.95 -3978237.52,-7860570.92 -3978237.52,-7860570.92 -3978677.81,-7861127.95 -3978677.81))
JUNAEB;POLYGON((-7861121.82 -3952418.78,-7861121.82 -3952383.48,-7861077.14 -3952383.48,-7861077.14 -3952418.78,-7861121.82 -3952418.78))
Bin Xiang;POLYGON((-7861118.28 -3952317.53,-7861118.28 -3952298.06,-7861097.97 -3952298.06,-7861097.97 -3952317.53,-7861118.28 -3952317.53))
Mercado de Providencia;POLYGON((-7861117.92 -3952126.06,-7861117.92 -3952063.36,-7861055.69 -3952063.36,-7861055.69 -3952126.06,-7861117.92 -3952126.06))
"Jardín Infantil ""Vitamina Ciudad Empresarial""";POLYGON((-7861117.66 -3946848.71,-7861117.66 -3946782.13,-7861088.69 -3946782.13,-7861088.69 -3946848.71,-7861117.66 -3946848.71))
Instituto de Salud Pública de Chile;POLYGON((-7861116.78 -3957068.62,-7861116.78 -3956851.99,-7860843.95 -3956851.99,-7860843.95 -3957068.62,-7861116.78 -3957068.62))
Campus Lo Contador;POLYGON((-7861115.07 -3951035.6,-7861115.07 -3950987.37,-7861077.23 -3950987.37,-7861077.23 -3951035.6,-7861115.07 -3951035.6))
Dirección General de Aeronautica Civil;POLYGON((-7861109.58 -3954042.23,-7861109.58 -3953993.81,-7861069.06 -3953993.81,-7861069.06 -3954042.23,-7861109.58 -3954042.23))
Universidad Santo Tomás San Joaquín;POLYGON((-7861104.54 -3961789.43,-7861104.54 -3961675.38,-7860945.65 -3961675.38,-7860945.65 -3961789.43,-7861104.54 -3961789.43))
Casona Sergio Larraín;POLYGON((-7861102.9 -3951061.87,-7861102.9 -3951007.54,-7861069.46 -3951007.54,-7861069.46 -3951061.87,-7861102.9 -3951061.87))
Biblioteca de Providencia;POLYGON((-7861101.07 -3952160.31,-7861101.07 -3952093.43,-7861004.32 -3952093.43,-7861004.32 -3952160.31,-7861101.07 -3952160.31))
PLaza Elias de la Cruz;POLYGON((-7861099.31 -3955908.3,-7861099.31 -3955864.52,-7861038.28 -3955864.52,-7861038.28 -3955908.3,-7861099.31 -3955908.3))
Multicancha;POLYGON((-7861089.17 -3966208.13,-7861089.17 -3966183.56,-7861053.5 -3966183.56,-7861053.5 -3966208.13,-7861089.17 -3966208.13))
Unidad Vecinal Providencia;POLYGON((-7861089.29 -3952611.66,-7861089.29 -3951924.91,-7860527.79 -3951924.91,-7860527.79 -3952611.66,-7861089.29 -3952611.66))
DUOC UC San Joaquín;POLYGON((-7861086.48 -3961935.41,-7861086.48 -3961782.12,-7860922.08 -3961782.12,-7860922.08 -3961935.41,-7861086.48 -3961935.41))
Cambridge College;POLYGON((-7861086.42 -3952499.39,-7861086.42 -3952466.51,-7861050.26 -3952466.51,-7861050.26 -3952499.39,-7861086.42 -3952499.39))
Cambridge college;POLYGON((-7861084.19 -3952535.98,-7861084.19 -3952509.91,-7861035.49 -3952509.91,-7861035.49 -3952535.98,-7861084.19 -3952535.98))
Casa memoria José Domingo Cañas;POLYGON((-7861083.28 -3956039.03,-7861083.28 -3955987.97,-7861063.57 -3955987.97,-7861063.57 -3956039.03,-7861083.28 -3956039.03))
Plaza Juan XXIII;POLYGON((-7861081.63 -3952289,-7861081.63 -3952225.66,-7861026.56 -3952225.66,-7861026.56 -3952289,-7861081.63 -3952289))
Parroquia Jesus Nazareno;POLYGON((-7861069.67 -3953273.91,-7861069.67 -3953216.94,-7861007.97 -3953216.94,-7861007.97 -3953273.91,-7861069.67 -3953273.91))
Canchas Ciudad Empresarial;POLYGON((-7861068.85 -3947975.62,-7861068.85 -3947846.84,-7860970.7 -3947846.84,-7860970.7 -3947975.62,-7861068.85 -3947975.62))
Edificio Plaza de la India;POLYGON((-7861066.03 -3951308.58,-7861066.03 -3951251.73,-7860997.76 -3951251.73,-7860997.76 -3951308.58,-7861066.03 -3951308.58))
Centro Deportivo Universidad de las Americas;POLYGON((-7861063.22 -3961041.01,-7861063.22 -3960845.92,-7860798.13 -3960845.92,-7860798.13 -3961041.01,-7861063.22 -3961041.01))
Centro de Distribución Chilexpress;POLYGON((-7861056.65 -3952967.8,-7861056.65 -3952950.89,-7861043.82 -3952950.89,-7861043.82 -3952967.8,-7861056.65 -3952967.8))
Plaza Atilio Gaete;POLYGON((-7861055.25 -3968067.39,-7861055.25 -3968006.7,-7860830.12 -3968006.7,-7860830.12 -3968067.39,-7861055.25 -3968067.39))
Plaza Guillermo Franke;POLYGON((-7861050.29 -3955110.08,-7861050.29 -3954938.09,-7860960.47 -3954938.09,-7860960.47 -3955110.08,-7861050.29 -3955110.08))
Centro Civico Bajos de Mena;POLYGON((-7861039.54 -3978974.45,-7861039.54 -3978600.15,-7860518.64 -3978600.15,-7860518.64 -3978974.45,-7861039.54 -3978974.45))
Parque Metropolitano de Santiago;POLYGON((-7861038.67 -3950567.33,-7861038.67 -3950527.82,-7860850.69 -3950527.82,-7860850.69 -3950567.33,-7861038.67 -3950567.33))
Nestlé Chile (Fábrica Macul);POLYGON((-7861027.39 -3961335,-7861027.39 -3960967.07,-7860041.69 -3960967.07,-7860041.69 -3961335,-7861027.39 -3961335))
Divina Providencia;POLYGON((-7861026.94 -3952206.71,-7861026.94 -3952179.77,-7860993.55 -3952179.77,-7860993.55 -3952206.71,-7861026.94 -3952206.71))
Inacap;POLYGON((-7861026.4 -3960466.57,-7861026.4 -3960431.8,-7860971.84 -3960431.8,-7860971.84 -3960466.57,-7861026.4 -3960466.57))
Universidad Mayor;POLYGON((-7861020.29 -3945620.35,-7861020.29 -3945361.68,-7860498.45 -3945361.68,-7860498.45 -3945620.35,-7861020.29 -3945620.35))
Inacap;POLYGON((-7861005.39 -3960679.7,-7861005.39 -3960408.59,-7860920.64 -3960408.59,-7860920.64 -3960679.7,-7861005.39 -3960679.7))
Divina Providencia;POLYGON((-7861005.45 -3952222.47,-7861005.45 -3952155.76,-7860953.15 -3952155.76,-7860953.15 -3952222.47,-7861005.45 -3952222.47))
Colegio Marista Marcelino Champagnat;POLYGON((-7860997.84 -3973823.74,-7860997.84 -3973530.54,-7860735.62 -3973530.54,-7860735.62 -3973823.74,-7860997.84 -3973823.74))
ekono;POLYGON((-7860994.32 -3952086.23,-7860994.32 -3952044.29,-7860951.87 -3952044.29,-7860951.87 -3952086.23,-7860994.32 -3952086.23))
Centro Recreacional de Gendarmería;POLYGON((-7860987.37 -3962499.79,-7860987.37 -3962142.81,-7860809.21 -3962142.81,-7860809.21 -3962499.79,-7860987.37 -3962499.79))
Divina Providencia;POLYGON((-7860979.24 -3952215.12,-7860979.24 -3952153.76,-7860929.56 -3952153.76,-7860929.56 -3952215.12,-7860979.24 -3952215.12))
Hospital Luis Calvo Mackenna;POLYGON((-7860976.11 -3952631.82,-7860976.11 -3952369.64,-7860643.17 -3952369.64,-7860643.17 -3952631.82,-7860976.11 -3952631.82))
Dirección Regional Metropolitana;POLYGON((-7860971.06 -3962148.55,-7860971.06 -3962077.78,-7860881.2 -3962077.78,-7860881.2 -3962148.55,-7860971.06 -3962148.55))
Urbania.cl;POLYGON((-7860970.13 -3952653.78,-7860970.13 -3952633.84,-7860955.82 -3952633.84,-7860955.82 -3952653.78,-7860970.13 -3952653.78))
Canchas Ciudad Empresarial;POLYGON((-7860970.25 -3948008.18,-7860970.25 -3947879.52,-7860863.66 -3947879.52,-7860863.66 -3948008.18,-7860970.25 -3948008.18))
Pontificia Universidad Católica de Chile (Campus San Joaquín);POLYGON((-7860968.27 -3962088.42,-7860968.27 -3961266.75,-7859795.74 -3961266.75,-7859795.74 -3962088.42,-7860968.27 -3962088.42))
edificio don manuel;POLYGON((-7860967.55 -3952053.98,-7860967.55 -3951999.95,-7860912.32 -3951999.95,-7860912.32 -3952053.98,-7860967.55 -3952053.98))
Plaza Sexto de Línea;POLYGON((-7860963.13 -3974002.96,-7860963.13 -3973924.05,-7860882.07 -3973924.05,-7860882.07 -3974002.96,-7860963.13 -3974002.96))
Universidad de las Américas;POLYGON((-7860954.22 -3953511.4,-7860954.22 -3953290.85,-7860801.34 -3953290.85,-7860801.34 -3953511.4,-7860954.22 -3953511.4))
Cancha Defensor;POLYGON((-7860944.87 -3967037.13,-7860944.87 -3966911,-7860844.27 -3966911,-7860844.27 -3967037.13,-7860944.87 -3967037.13))
San Joaquín;POLYGON((-7860944.56 -3961823.23,-7860944.56 -3961688.14,-7860903.41 -3961688.14,-7860903.41 -3961823.23,-7860944.56 -3961823.23))
Pasteleria Strindberg;POLYGON((-7860942.45 -3955131.73,-7860942.45 -3955113.81,-7860920.69 -3955113.81,-7860920.69 -3955131.73,-7860942.45 -3955131.73))
Campus PUC San Joaquin;POLYGON((-7860941.19 -3961532.51,-7860941.19 -3961340.86,-7860608.42 -3961340.86,-7860608.42 -3961532.51,-7860941.19 -3961532.51))
A;POLYGON((-7860940.18 -3953437.43,-7860940.18 -3953399.01,-7860920.68 -3953399.01,-7860920.68 -3953437.43,-7860940.18 -3953437.43))
C;POLYGON((-7860935.65 -3953470.13,-7860935.65 -3953439.2,-7860911.22 -3953439.2,-7860911.22 -3953470.13,-7860935.65 -3953470.13))
Torre E;POLYGON((-7860932.34 -3960458.96,-7860932.34 -3960432.92,-7860872.11 -3960432.92,-7860872.11 -3960458.96,-7860932.34 -3960458.96))
Torre D;POLYGON((-7860926.24 -3960521.23,-7860926.24 -3960473.4,-7860900.89 -3960473.4,-7860900.89 -3960521.23,-7860926.24 -3960521.23))
Banco del Estado;POLYGON((-7860925.12 -3952007.57,-7860925.12 -3951959.52,-7860872.71 -3951959.52,-7860872.71 -3952007.57,-7860925.12 -3952007.57))
D norte;POLYGON((-7860924.42 -3953406.49,-7860924.42 -3953393.89,-7860906.89 -3953393.89,-7860906.89 -3953406.49,-7860924.42 -3953406.49))
Plazuela Santa Isabel;POLYGON((-7860919.26 -3954736.85,-7860919.26 -3954669.09,-7860806.66 -3954669.09,-7860806.66 -3954736.85,-7860919.26 -3954736.85))
D sur;POLYGON((-7860918.91 -3953427.77,-7860918.91 -3953413.39,-7860898.41 -3953413.39,-7860898.41 -3953427.77,-7860918.91 -3953427.77))
Paseo del Sagrado Corazón;POLYGON((-7860916.63 -3961665.19,-7860916.63 -3961615.54,-7860477.66 -3961615.54,-7860477.66 -3961665.19,-7860916.63 -3961665.19))
Torre C;POLYGON((-7860912.72 -3960566.24,-7860912.72 -3960540.02,-7860852.32 -3960540.02,-7860852.32 -3960566.24,-7860912.72 -3960566.24))
Torre B;POLYGON((-7860906.31 -3960630.28,-7860906.31 -3960582.91,-7860881.42 -3960582.91,-7860881.42 -3960630.28,-7860906.31 -3960630.28))
Estación Oásis;POLYGON((-7860905.46 -3950475.9,-7860905.46 -3950440.49,-7860862.16 -3950440.49,-7860862.16 -3950475.9,-7860905.46 -3950475.9))
Centro de Innovación UC Anacleto Angelini;POLYGON((-7860903.83 -3961626.76,-7860903.83 -3961527.12,-7860823.82 -3961527.12,-7860823.82 -3961626.76,-7860903.83 -3961626.76))
Centro de Informacion de Recursos Naturales;POLYGON((-7860903.75 -3953692.3,-7860903.75 -3953624.12,-7860729.91 -3953624.12,-7860729.91 -3953692.3,-7860903.75 -3953692.3))
J1;POLYGON((-7860902.83 -3953326.52,-7860902.83 -3953303.65,-7860880.96 -3953303.65,-7860880.96 -3953326.52,-7860902.83 -3953326.52))
B;POLYGON((-7860901.76 -3953423.84,-7860901.76 -3953385.42,-7860882.85 -3953385.42,-7860882.85 -3953423.84,-7860901.76 -3953423.84))
Cancha Fotbol;POLYGON((-7860901.21 -3966524.81,-7860901.21 -3966405.66,-7860810.16 -3966405.66,-7860810.16 -3966524.81,-7860901.21 -3966524.81))
Consultorio Padre Alberto Hurtado;POLYGON((-7860901.01 -3961024.95,-7860901.01 -3960940.05,-7860790.27 -3960940.05,-7860790.27 -3961024.95,-7860901.01 -3961024.95))
Torre A;POLYGON((-7860894.74 -3960665.97,-7860894.74 -3960639.72,-7860834.27 -3960639.72,-7860834.27 -3960665.97,-7860894.74 -3960665.97))
G;POLYGON((-7860894.87 -3953459.88,-7860894.87 -3953424.24,-7860872.41 -3953424.24,-7860872.41 -3953459.88,-7860894.87 -3953459.88))
Colegio Nocedal;POLYGON((-7860893.3 -3975068.19,-7860893.3 -3974553.94,-7860684.78 -3974553.94,-7860684.78 -3975068.19,-7860893.3 -3975068.19))
E;POLYGON((-7860893.06 -3953503.3,-7860893.06 -3953467.98,-7860858.07 -3953467.98,-7860858.07 -3953503.3,-7860893.06 -3953503.3))
Edificio Palladio;POLYGON((-7860890.86 -3951972.58,-7860890.86 -3951907.49,-7860825.77 -3951907.49,-7860825.77 -3951972.58,-7860890.86 -3951972.58))
Casino;POLYGON((-7860887.83 -3953420.69,-7860887.83 -3953382.8,-7860868.9 -3953382.8,-7860868.9 -3953420.69,-7860887.83 -3953420.69))
CIREN;POLYGON((-7860877.46 -3953671.85,-7860877.46 -3953635.15,-7860787.83 -3953635.15,-7860787.83 -3953671.85,-7860877.46 -3953671.85))
Centro Médico UC San Joaquín;POLYGON((-7860873.37 -3961523.74,-7860873.37 -3961412.95,-7860754.87 -3961412.95,-7860754.87 -3961523.74,-7860873.37 -3961523.74))
Montserrat;POLYGON((-7860873.34 -3955730.67,-7860873.34 -3955608.91,-7860815.98 -3955608.91,-7860815.98 -3955730.67,-7860873.34 -3955730.67))
Ictinos C&C asociados;POLYGON((-7860873.14 -3952651.13,-7860873.14 -3952629.79,-7860858.03 -3952629.79,-7860858.03 -3952651.13,-7860873.14 -3952651.13))
J;POLYGON((-7860864.75 -3953365.7,-7860864.75 -3953317.28,-7860814.65 -3953317.28,-7860814.65 -3953365.7,-7860864.75 -3953365.7))
Ictinos C&C asociados;POLYGON((-7860862.46 -3952645.05,-7860862.46 -3952615.82,-7860796.56 -3952615.82,-7860796.56 -3952645.05,-7860862.46 -3952645.05))
Edificio San Agustín (Salas H);POLYGON((-7860856.52 -3961835.88,-7860856.52 -3961691.31,-7860810.82 -3961691.31,-7860810.82 -3961835.88,-7860856.52 -3961835.88))
CIREN;POLYGON((-7860843.32 -3953690.02,-7860843.32 -3953666.09,-7860795.11 -3953666.09,-7860795.11 -3953690.02,-7860843.32 -3953690.02))
Canchas Ciudad Empresarial;POLYGON((-7860841.1 -3948051.86,-7860841.1 -3947910.19,-7860728.85 -3947910.19,-7860728.85 -3948051.86,-7860841.1 -3948051.86))
bicevida;POLYGON((-7860836.21 -3951910.35,-7860836.21 -3951841.41,-7860766.67 -3951841.41,-7860766.67 -3951910.35,-7860836.21 -3951910.35))
Facultad de Educación;POLYGON((-7860835.11 -3961631.6,-7860835.11 -3961578.13,-7860678.95 -3961578.13,-7860678.95 -3961631.6,-7860835.11 -3961631.6))
Complejo Andrónico Luksic Abaroa;POLYGON((-7860834.92 -3961908.74,-7860834.92 -3961766.39,-7860716.22 -3961766.39,-7860716.22 -3961908.74,-7860834.92 -3961908.74))
Departamento de Ingeniería Estructural y Geotécnica;POLYGON((-7860831.64 -3961770.05,-7860831.64 -3961700.06,-7860767.26 -3961700.06,-7860767.26 -3961770.05,-7860831.64 -3961770.05))
Departamento de Ingeniería Hidráulica y Ambiental;POLYGON((-7860815.71 -3961827.89,-7860815.71 -3961796.17,-7860761.33 -3961796.17,-7860761.33 -3961827.89,-7860815.71 -3961827.89))
Estadio Nacional Julio Martínez Prádanos;POLYGON((-7860811.89 -3957905.18,-7860811.89 -3956771.55,-7859865.48 -3956771.55,-7859865.48 -3957905.18,-7860811.89 -3957905.18))
Departamento de Ingeniería Química y Bioprocesos;POLYGON((-7860810.91 -3961924.41,-7860810.91 -3961864.68,-7860756.28 -3961864.68,-7860756.28 -3961924.41,-7860810.91 -3961924.41))
Plaza Cinco Oriente;POLYGON((-7860803.16 -3966170.1,-7860803.16 -3966121.37,-7860774.49 -3966121.37,-7860774.49 -3966170.1,-7860803.16 -3966170.1))
Estadio Nacional;POLYGON((-7860801.67 -3957117.12,-7860801.67 -3957039.34,-7860611.62 -3957039.34,-7860611.62 -3957117.12,-7860801.67 -3957117.12))
La Florida;POLYGON((-7860800.12 -3971253.25,-7860800.12 -3960733.24,-7841000.86 -3960733.24,-7841000.86 -3971253.25,-7860800.12 -3971253.25))
Cancha de tenis;POLYGON((-7860800.35 -3956858.45,-7860800.35 -3956828.9,-7860783.28 -3956828.9,-7860783.28 -3956858.45,-7860800.35 -3956858.45))
Canchas de tenis;POLYGON((-7860797.93 -3956953.78,-7860797.93 -3956862.78,-7860657.14 -3956862.78,-7860657.14 -3956953.78,-7860797.93 -3956953.78))
Teatro Municipal de Ñuñoa;POLYGON((-7860797.99 -3955573.84,-7860797.99 -3955536.22,-7860750.33 -3955536.22,-7860750.33 -3955573.84,-7860797.99 -3955573.84))
Liceo Luisa Saavedra;POLYGON((-7860797.16 -3951847.28,-7860797.16 -3951759.94,-7860707.49 -3951759.94,-7860707.49 -3951847.28,-7860797.16 -3951847.28))
Canchas de tenis;POLYGON((-7860794.9 -3956835.06,-7860794.9 -3956776.74,-7860650.81 -3956776.74,-7860650.81 -3956835.06,-7860794.9 -3956835.06))
Cancha de baloncesto;POLYGON((-7860794.14 -3956992.46,-7860794.14 -3956963.03,-7860776.55 -3956963.03,-7860776.55 -3956992.46,-7860794.14 -3956992.46))
Canchas;POLYGON((-7860792.8 -3957036.74,-7860792.8 -3957001.04,-7860667.11 -3957001.04,-7860667.11 -3957036.74,-7860792.8 -3957036.74))
Facultad de Odontología;POLYGON((-7860790.08 -3961564.62,-7860790.08 -3961504.87,-7860750.31 -3961504.87,-7860750.31 -3961564.62,-7860790.08 -3961564.62))
Parque Las Esculturas;POLYGON((-7860789.77964815 -3951340.35,-7860789.77964815 -3951047.39,-7860441.61 -3951047.39,-7860441.61 -3951340.35,-7860789.77964815 -3951340.35))
Jardín Japonés;POLYGON((-7860789.71 -3950356.5,-7860789.71 -3950276.34,-7860714.47 -3950276.34,-7860714.47 -3950356.5,-7860789.71 -3950356.5))
Plaza Padre Letelier;POLYGON((-7860786.4 -3950851.18,-7860786.4 -3950752.33,-7860685.34 -3950752.33,-7860685.34 -3950851.18,-7860786.4 -3950851.18))
Petrobras;POLYGON((-7860783.23 -3953724.31,-7860783.23 -3953689.14,-7860759.31 -3953689.14,-7860759.31 -3953724.31,-7860783.23 -3953724.31))
Cancha de tenis;POLYGON((-7860781.64 -3956860.12,-7860781.64 -3956830.52,-7860764.52 -3956830.52,-7860764.52 -3956860.12,-7860781.64 -3956860.12))
 Estadio Nacional;POLYGON((-7860781.17 -3957241.12,-7860781.17 -3957162.28,-7860681.8 -3957162.28,-7860681.8 -3957241.12,-7860781.17 -3957241.12))
Hospital Luis Calvo Mackenna;POLYGON((-7860774.85 -3952559.77,-7860774.85 -3952518.1,-7860715.19 -3952518.1,-7860715.19 -3952559.77,-7860774.85 -3952559.77))
Plaza Angol;POLYGON((-7860774.19 -3966889.58,-7860774.19 -3966692.43,-7860728.5 -3966692.43,-7860728.5 -3966889.58,-7860774.19 -3966889.58))
 Estadio Nacional;POLYGON((-7860774.5 -3957149.51,-7860774.5 -3957120.55,-7860689.7 -3957120.55,-7860689.7 -3957149.51,-7860774.5 -3957149.51))
Cancha de baloncesto;POLYGON((-7860773.59 -3956992.49,-7860773.59 -3956963,-7860755.97 -3956963,-7860755.97 -3956992.49,-7860773.59 -3956992.49))
Departamento de Ingeniería Química y Bioprocesos;POLYGON((-7860765.6 -3961936.82,-7860765.6 -3961911.55,-7860719.08 -3961911.55,-7860719.08 -3961936.82,-7860765.6 -3961936.82))
Cancha de tenis;POLYGON((-7860760.81 -3956861.91,-7860760.81 -3956832.31,-7860743.69 -3956832.31,-7860743.69 -3956861.91,-7860760.81 -3956861.91))
Pasteleria California;POLYGON((-7860758.8 -3955585.47,-7860758.8 -3955573.24,-7860734.37 -3955573.24,-7860734.37 -3955585.47,-7860758.8 -3955585.47))
comunidad de los andes;POLYGON((-7860757.97 -3951930.25,-7860757.97 -3951891.05,-7860714.84 -3951891.05,-7860714.84 -3951930.25,-7860757.97 -3951930.25))
